GEO_ID,NAME,S1502_C01_001E,S1502_C01_002E
0500000US13001,"Appling County, Georgia",1208,345
0500000US13003,"Atkinson County, Georgia",636,88
0500000US13005,"Bacon County, Georgia",769,188
0500000US13007,"Baker County, Georgia",290,67
0500000US13009,"Baldwin County, Georgia",6556,1782
0500000US13011,"Banks County, Georgia",1736,409
0500000US13013,"Barrow County, Georgia",9857,2643
0500000US13015,"Bartow County, Georgia",13091,3520
0500000US13017,"Ben Hill County, Georgia",1255,305
0500000US13019,"Berrien County, Georgia",1510,379
0500000US13021,"Bibb County, Georgia",25373,7763
0500000US13023,"Bleckley County, Georgia",1471,331
0500000US13025,"Brantley County, Georgia",1131,286
0500000US13027,"Brooks County, Georgia",1965,809
0500000US13029,"Bryan County, Georgia",7740,2423
0500000US13031,"Bulloch County, Georgia",11472,3264
0500000US13033,"Burke County, Georgia",1950,678
0500000US13035,"Butts County, Georgia",2078,510
0500000US13037,"Calhoun County, Georgia",429,111
0500000US13039,"Camden County, Georgia",8029,2209
0500000US13043,"Candler County, Georgia",936,296
0500000US13045,"Carroll County, Georgia",15625,4300
0500000US13047,"Catoosa County, Georgia",9832,2237
0500000US13049,"Charlton County, Georgia",806,217
0500000US13051,"Chatham County, Georgia",65257,18940
0500000US13053,"Chattahoochee County, Georgia",1510,432
0500000US13055,"Chattooga County, Georgia",1528,399
0500000US13057,"Cherokee County, Georgia",63567,18745
0500000US13059,"Clarke County, Georgia",31201,12436
0500000US13061,"Clay County, Georgia",275,124
0500000US13063,"Clayton County, Georgia",34324,10241
0500000US13065,"Clinch County, Georgia",443,147
0500000US13067,"Cobb County, Georgia",238686,82387
0500000US13069,"Coffee County, Georgia",3675,739
0500000US13071,"Colquitt County, Georgia",3764,883
0500000US13073,"Columbia County, Georgia",36382,12031
0500000US13075,"Cook County, Georgia",1525,323
0500000US13077,"Coweta County, Georgia",28989,8035
0500000US13079,"Crawford County, Georgia",916,248
0500000US13081,"Crisp County, Georgia",2136,465
0500000US13083,"Dade County, Georgia",1685,528
0500000US13085,"Dawson County, Georgia",5364,1412
0500000US13087,"Decatur County, Georgia",2444,507
0500000US13089,"DeKalb County, Georgia",225060,80785
0500000US13091,"Dodge County, Georgia",2123,478
0500000US13093,"Dooly County, Georgia",1200,238
0500000US13095,"Dougherty County, Georgia",12306,3575
0500000US13097,"Douglas County, Georgia",26093,7061
0500000US13099,"Early County, Georgia",1029,332
0500000US13101,"Echols County, Georgia",271,71
0500000US13103,"Effingham County, Georgia",7896,2253
0500000US13105,"Elbert County, Georgia",1557,342
0500000US13107,"Emanuel County, Georgia",1938,442
0500000US13109,"Evans County, Georgia",1136,286
0500000US13111,"Fannin County, Georgia",4262,1255
0500000US13113,"Fayette County, Georgia",35275,10548
0500000US13115,"Floyd County, Georgia",13537,3922
0500000US13117,"Forsyth County, Georgia",78687,29847
0500000US13119,"Franklin County, Georgia",2469,637
0500000US13121,"Fulton County, Georgia",370539,137947
0500000US13123,"Gilmer County, Georgia",4559,1292
0500000US13125,"Glascock County, Georgia",237,81
0500000US13127,"Glynn County, Georgia",17652,4508
0500000US13129,"Gordon County, Georgia",5598,1595
0500000US13131,"Grady County, Georgia",2359,517
0500000US13133,"Greene County, Georgia",3454,1166
0500000US13135,"Gwinnett County, Georgia",215339,73067
0500000US13137,"Habersham County, Georgia",5857,1438
0500000US13139,"Hall County, Georgia",31756,8771
0500000US13141,"Hancock County, Georgia",567,126
0500000US13143,"Haralson County, Georgia",2938,733
0500000US13145,"Harris County, Georgia",7503,1996
0500000US13147,"Hart County, Georgia",2924,699
0500000US13149,"Heard County, Georgia",705,184
0500000US13151,"Henry County, Georgia",41430,10844
0500000US13153,"Houston County, Georgia",28448,8214
0500000US13155,"Irwin County, Georgia",943,251
0500000US13157,"Jackson County, Georgia",10408,3261
0500000US13159,"Jasper County, Georgia",1370,310
0500000US13161,"Jeff Davis County, Georgia",1002,249
0500000US13163,"Jefferson County, Georgia",1052,166
0500000US13165,"Jenkins County, Georgia",461,65
0500000US13167,"Johnson County, Georgia",637,86
0500000US13169,"Jones County, Georgia",3846,1103
0500000US13171,"Lamar County, Georgia",1922,558
0500000US13173,"Lanier County, Georgia",1128,396
0500000US13175,"Laurens County, Georgia",5152,1186
0500000US13177,"Lee County, Georgia",4908,1110
0500000US13179,"Liberty County, Georgia",6488,1401
0500000US13181,"Lincoln County, Georgia",914,237
0500000US13183,"Long County, Georgia",2043,517
0500000US13185,"Lowndes County, Georgia",17240,4862
0500000US13187,"Lumpkin County, Georgia",5390,1409
0500000US13189,"McDuffie County, Georgia",1979,289
0500000US13191,"McIntosh County, Georgia",1948,504
0500000US13193,"Macon County, Georgia",835,234
0500000US13195,"Madison County, Georgia",3734,1062
0500000US13197,"Marion County, Georgia",812,168
0500000US13199,"Meriwether County, Georgia",1541,333
0500000US13201,"Miller County, Georgia",575,145
0500000US13205,"Mitchell County, Georgia",1480,372
0500000US13207,"Monroe County, Georgia",5109,1506
0500000US13209,"Montgomery County, Georgia",966,322
0500000US13211,"Morgan County, Georgia",2653,776
0500000US13213,"Murray County, Georgia",2665,679
0500000US13215,"Muscogee County, Georgia",32751,10158
0500000US13217,"Newton County, Georgia",13695,3671
0500000US13219,"Oconee County, Georgia",13063,4593
0500000US13221,"Oglethorpe County, Georgia",1790,781
0500000US13223,"Paulding County, Georgia",23413,6635
0500000US13225,"Peach County, Georgia",3631,963
0500000US13227,"Pickens County, Georgia",5288,1242
0500000US13229,"Pierce County, Georgia",1628,264
0500000US13231,"Pike County, Georgia",2131,505
0500000US13233,"Polk County, Georgia",3773,805
0500000US13235,"Pulaski County, Georgia",1098,168
0500000US13237,"Putnam County, Georgia",3666,1016
0500000US13239,"Quitman County, Georgia",124,12
0500000US13241,"Rabun County, Georgia",3069,1031
0500000US13243,"Randolph County, Georgia",482,144
0500000US13245,"Richmond County, Georgia",28268,9108
0500000US13247,"Rockdale County, Georgia",15542,4467
0500000US13249,"Schley County, Georgia",452,154
0500000US13251,"Screven County, Georgia",1497,470
0500000US13253,"Seminole County, Georgia",971,185
0500000US13255,"Spalding County, Georgia",7917,2172
0500000US13257,"Stephens County, Georgia",3664,836
0500000US13259,"Stewart County, Georgia",595,135
0500000US13261,"Sumter County, Georgia",3474,851
0500000US13263,"Talbot County, Georgia",570,170
0500000US13265,"Taliaferro County, Georgia",100,20
0500000US13267,"Tattnall County, Georgia",2354,445
0500000US13269,"Taylor County, Georgia",715,259
0500000US13271,"Telfair County, Georgia",1043,213
0500000US13273,"Terrell County, Georgia",673,129
0500000US13275,"Thomas County, Georgia",7514,2077
0500000US13277,"Tift County, Georgia",4671,1181
0500000US13279,"Toombs County, Georgia",2835,632
0500000US13281,"Towns County, Georgia",2551,645
0500000US13283,"Treutlen County, Georgia",583,170
0500000US13285,"Troup County, Georgia",8691,2494
0500000US13287,"Turner County, Georgia",650,190
0500000US13289,"Twiggs County, Georgia",726,232
0500000US13291,"Union County, Georgia",4087,1145
0500000US13293,"Upson County, Georgia",2394,518
0500000US13295,"Walker County, Georgia",8070,2442
0500000US13297,"Walton County, Georgia",13234,2878
0500000US13299,"Ware County, Georgia",3710,1219
0500000US13301,"Warren County, Georgia",481,97
0500000US13303,"Washington County, Georgia",1762,465
0500000US13305,"Wayne County, Georgia",2595,618
0500000US13307,"Webster County, Georgia",275,28
0500000US13309,"Wheeler County, Georgia",735,307
0500000US13311,"White County, Georgia",4769,1269
0500000US13313,"Whitfield County, Georgia",10556,2866
0500000US13315,"Wilcox County, Georgia",775,184
0500000US13317,"Wilkes County, Georgia",954,314
0500000US13319,"Wilkinson County, Georgia",678,161
0500000US13321,"Worth County, Georgia",1562,417
